kanji,on,romaji on,kun,romaji kun,meaning,level,on…romaji kun
懐,カイ エ,kai e,ふところ なつかしい なつかしむ なつく なつける なずける いだく おもう,futokoro natsukashii natsukashimu natsuku natsukeru nazukeru idaku omou ,pocket; feelings; heart; yearn; miss someone; become attached to; bosom; breast;,1,カイ エ…ふところ なつかしい なつかしむ なつく なつける なずける いだく おもう
戒,カイ,kai,いましめる,imashimeru ,commandment;,1,カイ…いましめる
拐,カイ,kai,,,kidnap; falsify;,1,カイ…
改,カイ,kai,あらためる あらたまる,aratameru aratamaru ,reformation; change; modify; mend; renew; examine; inspect; search;,2,カイ…あらためる あらたまる
械,カイ,kai,かせ,kase ,contraption; fetter; machine; instrument;,2,カイ…かせ
海,カイ,kai,うみ,umi ,sea; ocean;,3,カイ…うみ
灰,カイ,kai,はい,hai ,ashes; puckery juice; cremate;,2,カイ…はい
界,カイ,kai,,,world;,3,カイ…
皆,カイ,kai,みな みんな,mina minna ,all; everything;,2,カイ…みな みんな
絵,カイ エ,kai e,,,picture; drawing; painting; sketch;,2,カイ エ…
開,カイ,kai,ひらく ひらき ひらける あく あける,hiraku hiraki hirakeru aku akeru ,open; unfold; unseal;,3,カイ…ひらく ひらき ひらける あく あける
階,カイ,kai,きざはし,kizahashi ,storey; stair; counter for storeys of a building;,2,カイ…きざはし
貝,バイ,bai,かい,kai ,shellfish;,2,バイ…かい
劾,ガイ,gai,,,censure; criminal investigation;,1,ガイ…
外,ガイ ゲ,gai ge,そと ほか はずす はずれる と-,soto hoka hazusu hazureru to ,outside;,4,ガイ ゲ…そと ほか はずす はずれる と-
害,ガイ,gai,,,harm; injury;,2,ガイ…
慨,ガイ,gai,,,rue; be sad; sigh; lament;,1,ガイ…
概,ガイ,gai,おうむね,oumune ,outline; condition; approximation; generally;,1,ガイ…おうむね
涯,ガイ,gai,はて,hate ,horizon; shore;,1,ガイ…はて
街,ガイ カイ,gai kai,まち,machi ,boulevard; street; town;,1,ガイ カイ…まち
該,ガイ,gai,,,above-stated; the said; that specific;,1,ガイ…
馨,ケイ キョウ,kei kyou,かおる かおり,kaoru kaori ,fragrant; balmy; favourable;,1,ケイ キョウ…かおる かおり
垣,エン,en,かき,kaki ,hedge; fence; wall;,1,エン…かき
嚇,カク,kaku,おどかす,odokasu ,menacing; dignity; majesty; threaten;,1,カク…おどかす
各,カク,kaku,おのおの,onoono ,each; every; either;,2,カク…おのおの
拡,カク コウ,kaku kou,ひろがる ひろげる ひろめる,hirogaru hirogeru hiromeru ,broaden; extend; expand; enlarge;,1,カク コウ…ひろがる ひろげる ひろめる
格,カク コウ キャク ゴウ,kaku kou kyaku gou,,,status; rank; capacity; character; case (law grammar);,2,カク コウ キャク ゴウ…
核,カク,kaku,,,nucleus; core; kernel;,1,カク…
殻,カク コク バイ,kaku koku bai,から がら,kara gara ,husk; nut shell;,1,カク コク バイ…から がら
獲,カク,kaku,える,eru ,seize; get; find; earn; acquire; can; may; able to;,1,カク…える
確,カク コウ,kaku kou,たしか たしかめる,tashika tashikameru ,assurance; firm; tight; hard; solid; confirm; clear; evident;,2,カク コウ…たしか たしかめる
穫,カク,kaku,,,harvest; reap;,1,カク…
覚,カク,kaku,おぼえる さます さめる さとる,oboeru samasu sameru satoru ,memorize; learn; remember; awake; sober up;,2,カク…おぼえる さます さめる さとる
角,カク,kaku,かど つの,kado tsuno ,angle; corner; square;,2,カク…かど つの
較,カク コウ,kaku kou,くらべる,kuraberu ,contrast; compare;,1,カク コウ…くらべる
郭,カク,kaku,くるわ,kuruwa ,enclosure; quarters; fortification; red-light district;,1,カク…くるわ
閣,カク,kaku,,,tower; tall building; palace;,1,カク…
隔,カク,kaku,へだてる へだたる,hedateru hedataru ,isolate; alternate; distance; separate; gulf;,1,カク…へだてる へだたる
革,カク,kaku,かわ,kawa ,leather; become serious; skin; hide; pelt;,2,カク…かわ
学,ガク,gaku,まなぶ,manabu ,study; learning; science;,4,ガク…まなぶ
岳,ガク,gaku,たけ,take ,point; peak; mountain;,1,ガク…たけ
楽,ガク ラク ゴウ,gaku raku gou,たのしい たのしむ このむ,tanoshii tanoshimu konomu ,music; comfort; ease;,3,ガク ラク ゴウ…たのしい たのしむ このむ
額,ガク,gaku,ひたい,hitai ,forehead; tablet; plaque; framed picture; sum; amount; volume;,2,ガク…ひたい
掛,カイ ケイ,kai kei,かける かけ かかる かかり かかり,kakeru kake kakaru kakari kakari ,hang; suspend; depend; arrive at; tax; pour;,2,カイ ケイ…かける かけ かかる かかり かかり
潟,セキ,seki,かた,kata ,lagoon;,1,セキ…かた
割,カツ,katsu,わる わり わり われる さく,waru wari wari wareru saku ,proportion; comparatively; divide; cut; separate; split;,2,カツ…わる わり わり われる さく
喝,カツ,katsu,,,hoarse; scold;,1,カツ…
括,カツ,katsu,くくる,kukuru ,fasten; tie up; arrest; constrict;,1,カツ…くくる
活,カツ,katsu,いきる いかす いける,ikiru ikasu ikeru ,lively; resuscitation; being helped; living;,2,カツ…いきる いかす いける
渇,カツ,katsu,かわく,kawaku ,thirst; dry up; parch;,1,カツ…かわく
滑,カツ コツ,katsu kotsu,すべる なめらか,suberu nameraka ,slippery; slide; slip; flunk;,1,カツ コツ…すべる なめらか
褐,カツ,katsu,,,brown; woollen kimono;,1,カツ…
轄,カツ,katsu,くさび,kusabi ,control; wedge;,1,カツ…くさび
且,ショ ソ ショウ,syo so syou,かつ,katsu ,moreover; also; furthermore;,1,ショ ソ ショウ…かつ
株,シュ,syu,かぶ,kabu ,stocks; stump; shares; stock; counter for small plants;,1,シュ…かぶ
鎌,レン ケン,ren ken,かま,kama ,sickle; scythe; trick;,1,レン ケン…かま
刈,ガイ カイ,gai kai,かる,karu ,reap; cut; clip; trim; prune;,1,ガイ カイ…かる
乾,カン ケン,kan ken,かわく かわかす ほす ひる いぬい,kawaku kawakasu hosu hiru inui ,drought; dry; dessicate; drink up; heaven; emperor;,2,カン ケン…かわく かわかす ほす ひる いぬい
冠,カン,kan,かんむり,kanmuri ,crown; best; peerless;,1,カン…かんむり
寒,カン,kan,さむい,samui ,cold;,2,カン…さむい
刊,カン,kan,,,publish; carve; engrave;,2,カン…
勘,カン,kan,,,intuition; perception;,1,カン…
勧,カン ケン,kan ken,すすめる,susumeru ,persuade; recommend; advise; encourage; offer;,1,カン ケン…すすめる
巻,カン ケン,kan ken,まく まき まき,maku maki maki ,scroll; volume; book; part; roll up; wind up; tie; coil; counter for texts (on book scrolls);,2,カン ケン…まく まき まき
喚,カン,kan,わめく,wameku ,yell; cry; scream;,1,カン…わめく
堪,カン タン,kan tan,たえる たまる こらえる こたえる,taeru tamaru koraeru kotaeru ,withstand; endure; support; resist;,1,カン タン…たえる たまる こらえる こたえる
完,カン,kan,,,perfect; completion; end;,2,カン…
官,カン,kan,,,bureaucrat; the government;,2,カン…
寛,カン,kan,くつろぐ ひろい ゆるやか,kutsurogu hiroi yuruyaka ,tolerant; leniency; generosity; relax; feel at home; be at ease; broadminded;,1,カン…くつろぐ ひろい ゆるやか
干,カン,kan,ほす ほし- ひる,hosu hoshi hiru ,dry; parch;,2,カン…ほす ほし- ひる
幹,カン,kan,みき,miki ,tree-trunk;,1,カン…みき
患,カン,kan,わずらう,wazurau ,afflicted; disease; suffer from; be ill;,2,カン…わずらう
感,カン,kan,,,emotion; feeling; sensation;,2,カン…
慣,カン,kan,なれる ならす,nareru narasu ,accustomed; get used to; become experienced;,2,カン…なれる ならす
憾,カン,kan,うらむ,uramu ,remorse; regret; be sorry;,1,カン…うらむ
換,カン,kan,かえる かわる,kaeru kawaru ,interchange; period; charge; change?;,2,カン…かえる かわる
敢,カン,kan,あえて あえない あえず,aete aenai aezu ,daring; sad; tragic; pitiful; frail; feeble;,1,カン…あえて あえない あえず
棺,カン,kan,,,coffin; casket;,1,カン…
款,カン,kan,,,goodwill; article; section; friendship; collusion;,1,カン…
歓,カン,kan,よろこぶ,yorokobu ,delight; joy;,1,カン…よろこぶ
汗,カン,kan,あせ,ase ,sweat; perspire;,2,カン…あせ
漢,カン,kan,,,Sino-; China;,3,カン…
環,カン,kan,わ,wa ,ring; circle; link; wheel;,1,カン…わ
甘,カン,kan,あまい あまえる あまやかす うまい,amai amaeru amayakasu umai ,sweet; coax; pamper; be content; sugary;,2,カン…あまい あまえる あまやかす うまい
監,カン,kan,,,oversee; official; govt office; rule; administer;,1,カン…
看,カン,kan,みる,miru ,watch over; see;,1,カン…みる
管,カン,kan,くだ,kuda ,pipe; tube; wind instrument; drunken talk;,2,カン…くだ
簡,カン,kan,,,simplicity; brevity;,2,カン…
緩,カン,kan,ゆるい ゆるやか ゆるむ ゆるめる,yurui yuruyaka yurumu yurumeru ,slacken; loosen; relax; lessen; be moderate; ease;,1,カン…ゆるい ゆるやか ゆるむ ゆるめる
缶,カン,kan,かま,kama ,tin can; container;,2,カン…かま
肝,カン,kan,きも,kimo ,liver; pluck; nerve; chutzpah;,1,カン…きも
艦,カン,kan,,,warship;,1,カン…
観,カン,kan,みる しめす,miru shimesu ,outlook; look; appearance; condition; view;,2,カン…みる しめす
貫,カン,kan,つらぬく ぬく ぬき,tsuranuku nuku nuki ,pierce; 8 1/3lbs; penetrate; brace;,1,カン…つらぬく ぬく ぬき
還,カン,kan,かえる,kaeru ,send back; return;,1,カン…かえる
鑑,カン,kan,かんがみる かがみ,kangamiru kagami ,specimen; take warning from; learn from;,1,カン…かんがみる かがみ
間,カン ケン,kan ken,あいだ ま あい,aida ma ai ,interval; space;,4,カン ケン…あいだ ま あい
閑,カン,kan,,,leisure;,1,カン…
関,カン,kan,せき かかわる からくり かんぬき,seki kakawaru karakuri kannuki ,connection; barrier; gateway; involve; concerning;,2,カン…せき かかわる からくり かんぬき
陥,カン,kan,おちいる おとしいれる,ochiiru otoshiireru ,collapse; fall into; cave in; fall (castle); slide into;,1,カン…おちいる おとしいれる
韓,カン,kan,から いげた,kara igeta ,Korea;,1,カン…から いげた
館,カン,kan,やかた たて,yakata tate ,building; mansion; large building; palace;,3,カン…やかた たて
丸,ガン,gan,まる まるめる まるい,maru marumeru marui ,round; full; month; perfection; -ship; pills; make round; roll up; curl up; seduce; explain away;,2,ガン…まる まるめる まるい
含,ガン,gan,ふくむ ふくめる,fukumu fukumeru ,include; bear in mind; understand; cherish;,2,ガン…ふくむ ふくめる
岸,ガン,gan,きし,kishi ,beach;,2,ガン…きし
巌,ガン,gan,いわ いわお けわしい,iwa iwao kewashii ,rock; crag; boulder;,1,ガン…いわ いわお けわしい
眼,ガン ゲン,gan gen,まなこ め,manako me ,eyeball;,1,ガン ゲン…まなこ め
岩,ガン,gan,いわ,iwa ,boulder; rock; cliff;,2,ガン…いわ
頑,ガン,gan,かたく,kataku ,stubborn; foolish; firmly;,1,ガン…かたく
顔,ガン,gan,かお,kao ,face; expression;,2,ガン…かお
願,ガン,gan,ねがう,negau ,petition; request; vow; wish; hope;,2,ガン…ねがう
企,キ,ki,くわだてる,kuwadateru ,undertake; scheme; design; attempt; plan;,1,キ…くわだてる
危,キ,ki,あぶない あやうい あやぶむ,abunai ayaui ayabumu ,dangerous; fear; uneasy;,2,キ…あぶない あやうい あやぶむ
喜,キ,ki,よろこぶ よろこばす,yorokobu yorokobasu ,rejoice; take pleasure in;,2,キ…よろこぶ よろこばす
器,キ,ki,うつわ,utsuwa ,utensil; vessel; receptacle; implement; instrument; ability; container; tool; set;,1,キ…うつわ
基,キ,ki,もと もとい,moto motoi ,fundamentals; radical (chem); counter for machines; foundation;,1,キ…もと もとい
奇,キ,ki,くしき あやしい くし めずらしい,kushiki ayashii kushi mezurashii ,strange; strangeness; curiousity;,1,キ…くしき あやしい くし めずらしい
嬉,キ,ki,うれしい たのしむ,ureshii tanoshimu ,glad; pleased; rejoice;,1,キ…うれしい たのしむ
寄,キ,ki,よる よせる,yoru yoseru ,draw near; stop in; bring near; gather; collect; send; forward;,2,キ…よる よせる
岐,キ ギ,ki gi,,,branch off; fork in road; scene; arena; theater;,1,キ ギ…
希,キ ケ,ki ke,まれ,mare ,hope; beg; request; pray; beseech; Greece; dilute (acid); rare; few; phenomenal;,2,キ ケ…まれ
幾,キ,ki,いく- いくつ いくら,iku ikutsu ikura ,how many; how much; how far; how long;,2,キ…いく- いくつ いくら
忌,キ,ki,いむ いみ いまわしい,imu imi imawashii ,mourning; abhor; detestable; death anniversary;,1,キ…いむ いみ いまわしい
揮,キ,ki,ふるう,furuu ,brandish; wave; wag; swing; shake;,1,キ…ふるう
机,キ,ki,つくえ,tsukue ,desk; table;,2,キ…つくえ
旗,キ,ki,はた,hata ,national flag; banner; standard;,1,キ…はた
既,キ,ki,すでに,sudeni ,previously; already; long ago;,1,キ…すでに
期,キ ゴ,ki go,,,period; time; date; term;,2,キ ゴ…
棋,キ,ki,ご,go ,chess piece; Japanese chess; shogi;,1,キ…ご
棄,キ,ki,すてる,suteru ,abandon; throw away; discard; resign; reject; sacrifice;,1,キ…すてる
機,キ,ki,はた,hata ,mechanism; opportunity; occasion; machine; airplane;,2,キ…はた
帰,キ,ki,かえる かえす おくる とつぐ,kaeru kaesu okuru totsugu ,homecoming; arrive at; lead to; result in;,3,キ…かえる かえす おくる とつぐ
毅,キ ギ,ki gi,つよい,tsuyoi ,strong;,1,キ ギ…つよい
気,キ ケ,ki ke,いき,iki ,spirit; mind;,4,キ ケ…いき
汽,キ,ki,,,vapor; steam;,1,キ…
祈,キ,ki,いのる,inoru ,pray; wish;,2,キ…いのる
季,キ,ki,,,seasons;,2,キ…
紀,キ,ki,,,chronicle; account; narrative; history; annals; geologic period;,1,キ…
規,キ,ki,,,standard; measure;,2,キ…
記,キ,ki,しるす,shirusu ,scribe; account; narrative;,2,キ…しるす
貴,キ,ki,たっとい とうとい たっとぶ とうとぶ,tattoi toutoi tattobu toutobu ,precious; value; prize; esteem; honor;,1,キ…たっとい とうとい たっとぶ とうとぶ
起,キ,ki,おきる おこる おこす おこす たつ,okiru okoru okosu okosu tatsu ,rouse; wake up; get up;,3,キ…おきる おこる おこす おこす たつ
軌,キ,ki,,,rut; wheel; track; model; way of doing;,1,キ…
輝,キ,ki,かがやく,kagayaku ,radiance; shine; sparkle; gleam; twinkle;,1,キ…かがやく
飢,キ,ki,うえる,ueru ,hungry; starve;,1,キ…うえる
騎,キ,ki,,,equestrian; riding on horses; counter for equestrians;,1,キ…
鬼,キ,ki,おに おに-,oni oni ,ghost; devil;,1,キ…おに おに-
亀,キ キュウ キン,ki kyuu kin,かめ,kame ,tortoise; turtle;,1,キ キュウ キン…かめ
偽,ギ カ,gi ka,いつわる にせ いつわり,itsuwaru nise itsuwari ,falsehood; lie; deceive; pretend; counterfeit; forgery;,1,ギ カ…いつわる にせ いつわり
儀,ギ,gi,,,ceremony; rule; affair; case; a matter;,1,ギ…
宜,ギ,gi,よろしい よろしく,yoroshii yoroshiku ,best regards; good;,1,ギ…よろしい よろしく
戯,ギ ゲ,gi ge,たわむれる ざれる じゃれる,tawamureru zareru jyareru ,frolic; play; sport;,1,ギ ゲ…たわむれる ざれる じゃれる
技,ギ,gi,わざ,waza ,skill; art; craft; ability; feat; performance; vocation; arts;,2,ギ…わざ
擬,ギ,gi,まがい もどき,magai modoki ,mimic; aim (a gun) at; nominate; imitate;,1,ギ…まがい もどき
欺,ギ,gi,あざむく,azamuku ,deceit; cheat; delude;,1,ギ…あざむく
犠,ギ キ,gi ki,いけにえ,ikenie ,sacrifice;,1,ギ キ…いけにえ
疑,ギ,gi,うたがう,utagau ,doubt; distrust; be suspicious; question;,2,ギ…うたがう
義,ギ,gi,,,righteousness; justice; morality; honor; loyalty; meaning;,1,ギ…
議,ギ,gi,,,deliberation; consultation; debate; consideration;,2,ギ…
